song,artist,genre,explicit,year,duration_ms,speechiness,liveness,danceability,valence,Mood,Rating_popularity
Raise Your Glass,P!nk,pop,TRUE,2010,202960,0.08,0.03,0.7,0.62,Happy,Popular
Jar of Hearts,Christina Perri,pop,FALSE,2011,246587,0.03,0.12,0.35,0.09,Depressed,Popular
Marry You,Bruno Mars,pop,FALSE,2010,230192,0.04,0.1,0.62,0.45,Sad,Popular
How To Love,Lil Wayne,hip hop,FALSE,2011,240306,0.04,0.11,0.64,0.27,Sad,Underrated
We Found Love,Rihanna,hip hop,FALSE,2011,215226,0.04,0.11,0.74,0.6,Happy,Popular
Call Me Maybe,Carly Rae Jepsen,pop,FALSE,2012,193400,0.04,0.11,0.78,0.66,Happy,Popular
We Are Young (feat. Janelle Monáe),fun.,rock,FALSE,2012,250626,0.08,0.08,0.38,0.74,Happy,Popular
International Love (feat. Chris Brown),Pitbull,hip hop,FALSE,2011,227280,0.05,0.34,0.67,0.65,Happy,Popular
In The Dark,DEV,pop,FALSE,2012,226226,0.07,0.33,0.74,0.44,Sad,Underrated
Skyfall,Adele,pop,FALSE,2012,286480,0.03,0.11,0.35,0.08,Depressed,Popular
Ni**as In Paris,JAY-Z,hip hop,TRUE,2011,219333,0.31,0.35,0.79,0.78,Cheerful,Popular
One More Night,Maroon 5,pop,FALSE,2012,219546,0.03,0.08,0.72,0.62,Happy,Popular
Whistle,Flo Rida,hip hop,FALSE,2012,224653,0.05,0.29,0.75,0.74,Happy,Popular
Primadonna,MARINA,pop,FALSE,2012,221075,0.03,0.09,0.66,0.43,Sad,Popular
Mercy,Kanye West,hip hop,TRUE,2012,329320,0.41,0.17,0.56,0.43,Sad,Popular
Gangnam Style (강남스타일),PSY,pop,FALSE,2012,219493,0.29,0.09,0.73,0.75,Happy,Popular
Die Young,Kesha,pop,FALSE,2012,211920,0.05,0.22,0.71,0.8,Cheerful,Popular
Troublemaker (feat. Flo Rida),Olly Murs,pop,FALSE,2012,185586,0.06,0.13,0.76,0.97,Cheerful,Underrated
BURN IT DOWN,Linkin Park,rock,FALSE,2012,230253,0.05,0.07,0.59,0.59,Happy,Popular
Locked out of Heaven,Bruno Mars,pop,FALSE,2012,233478,0.04,0.31,0.73,0.87,Cheerful,Popular
Levels - Radio Edit,Avicii,pop,FALSE,2011,199906,0.03,0.31,0.58,0.46,Sad,Popular
Good Feeling,Flo Rida,hip hop,FALSE,2012,248133,0.07,0.31,0.71,0.68,Happy,Popular
Diamonds,Rihanna,hip hop,FALSE,2012,225146,0.05,0.11,0.56,0.39,Sad,Popular
Part Of Me,Katy Perry,pop,FALSE,2012,216160,0.04,0.07,0.68,0.77,Cheerful,Popular
Starships,Nicki Minaj,hip hop,TRUE,2012,210626,0.08,0.25,0.75,0.75,Happy,Popular
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],Asaf Avidan & the Mojos,pop,FALSE,2012,212360,0.05,0.09,0.82,0.56,Happy,Underrated
212,Azealia Banks,hip hop,TRUE,2014,204956,0.26,0.08,0.85,0.63,Happy,Underrated
Payphone,Maroon 5,pop,TRUE,2012,231173,0.04,0.29,0.74,0.55,Happy,Popular
Impossible,James Arthur,pop,FALSE,2013,209440,0.09,0.11,0.38,0.3,Sad,Popular
Ai Se Eu Te Pego - Live,Michel Teló,country,FALSE,2012,166866,0.07,0.85,0.68,0.85,Cheerful,Underrated
Million Voices - Radio Edit,Otto Knows,pop,FALSE,2012,192866,0.04,0.07,0.58,0.07,Depressed,Underrated
I Love It,Icona Pop,pop,TRUE,2012,156773,0.03,0.17,0.71,0.86,Cheerful,Underrated
Feel So Close - Radio Edit,Calvin Harris,hip hop,FALSE,2012,206413,0.03,0.2,0.71,0.92,Cheerful,Popular
Dance Again,Jennifer Lopez,hip hop,FALSE,2012,237266,0.07,0.09,0.8,0.72,Happy,Underrated
Oblivion,Grimes,pop,FALSE,2012,251266,0.03,0.09,0.7,0.49,Sad,Underrated
Rumour Has It,Adele,pop,FALSE,2011,223266,0.04,0.17,0.61,0.57,Happy,Underrated
Paradise,Coldplay,rock,FALSE,2011,278719,0.03,0.08,0.45,0.21,Depressed,Popular
Hall of Fame (feat. will.i.am),The Script,pop,FALSE,2012,202533,0.06,0.12,0.42,0.63,Happy,Popular
Don't You Worry Child - Radio Edit,Swedish House Mafia,pop,FALSE,2012,212862,0.05,0.12,0.61,0.44,Sad,Popular
How to Be a Heartbreaker,MARINA,pop,FALSE,2012,221493,0.05,0.11,0.69,0.85,Cheerful,Underrated
Titanium (feat. Sia),David Guetta,hip hop,FALSE,2012,245040,0.1,0.13,0.6,0.3,Sad,Popular
Domino,Jessie J,hip hop,FALSE,2011,231840,0.03,0.04,0.76,0.78,Cheerful,Popular
Try,P!nk,pop,FALSE,2012,247906,0.03,0.09,0.67,0.55,Happy,Popular
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,hip hop,TRUE,2011,207333,0.14,0.12,0.72,0.53,Happy,Popular
R.I.P. (feat. Tinie Tempah),Rita Ora,hip hop,FALSE,2012,228026,0.05,0.65,0.6,0.36,Sad,Underrated
Years - ラジオ・エディット,Alesso,pop,FALSE,2012,195480,0.08,0.17,0.37,0.32,Sad,Underrated
Battle Scars (feat. Lupe Fiasco),Guy Sebastian,pop,FALSE,2012,250080,0.21,0.1,0.61,0.51,Sad,Underrated
The One That Got Away,Katy Perry,pop,FALSE,2012,227333,0.04,0.2,0.69,0.86,Cheerful,Popular
Silhouettes - Original Radio Edit,Avicii,pop,FALSE,2012,211880,0.05,0.12,0.61,0.84,Cheerful,Underrated
Wild Ones (feat. Sia),Flo Rida,hip hop,FALSE,2012,232946,0.06,0.26,0.61,0.44,Sad,Popular
What Makes You Beautiful,One Direction,pop,FALSE,2012,199986,0.07,0.06,0.73,0.89,Cheerful,Popular
Born To Die,Lana Del Rey,pop,FALSE,2012,286253,0.04,0.22,0.18,0.39,Sad,Underrated
C'Mon,Kesha,pop,FALSE,2012,214333,0.1,0.1,0.56,0.29,Sad,Underrated
Good Time,Owl City,rock,FALSE,2012,205933,0.14,0.37,0.56,0.68,Happy,Popular
Drive By,Train,pop,FALSE,2012,195973,0.03,0.08,0.77,0.72,Happy,Popular
Latch,Disclosure,pop,FALSE,2013,255631,0.17,0.09,0.5,0.52,Happy,Popular
Live While We're Young,One Direction,pop,FALSE,2012,200186,0.05,0.1,0.66,0.94,Cheerful,Underrated
Stronger (What Doesn't Kill You),Kelly Clarkson,pop,FALSE,2011,221946,0.05,0.11,0.56,0.68,Happy,Popular
The Motto,Drake,hip hop,TRUE,2011,181573,0.36,0.11,0.77,0.39,Sad,Popular
How We Do (Party),Rita Ora,hip hop,TRUE,2012,247026,0.08,0.1,0.74,0.69,Happy,Underrated
Take Care,Drake,hip hop,TRUE,2011,277386,0.27,0.09,0.63,0.3,Sad,Popular
Wings,Little Mix,pop,FALSE,2012,219733,0.13,0.29,0.74,0.54,Happy,Underrated
It Will Rain,Bruno Mars,pop,FALSE,2011,257720,0.05,0.08,0.58,0.48,Sad,Popular
Royals,Lorde,pop,FALSE,2013,190185,0.12,0.13,0.67,0.34,Sad,Popular
Radioactive,Imagine Dragons,rock,FALSE,2012,186813,0.06,0.67,0.45,0.24,Depressed,Popular
Wake Me Up,Avicii,pop,FALSE,2013,247426,0.05,0.16,0.53,0.64,Happy,Underrated
Locked out of Heaven,Bruno Mars,pop,FALSE,2012,233478,0.04,0.31,0.73,0.87,Cheerful,Popular
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,hip hop,TRUE,2012,235613,0.29,0.05,0.78,0.66,Happy,Underrated
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,hip hop,FALSE,2013,248413,0.04,0.1,0.79,0.86,Cheerful,Popular
Scream & Shout,will.i.am,hip hop,TRUE,2013,283400,0.07,0.13,0.77,0.5,Sad,Popular
Papaoutai,Stromae,pop,FALSE,2013,232146,0.09,0.06,0.73,0.25,Depressed,Underrated
Get Up (Rattle) - Vocal Edit,Bingo Players,pop,FALSE,2013,166933,0.06,0.3,0.8,0.72,Happy,Underrated
Another Love,Tom Odell,pop,TRUE,2013,244360,0.04,0.09,0.45,0.13,Depressed,Popular
Feel This Moment (feat. Christina Aguilera),Pitbull,hip hop,FALSE,2012,229506,0.16,0.34,0.67,0.54,Happy,Popular
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,hip hop,FALSE,2012,258342,0.08,0.09,0.64,0.85,Cheerful,Popular
Animals - Radio Edit,Martin Garrix,pop,FALSE,2013,176117,0.04,0.07,0.59,0.04,Depressed,Underrated
Love Me Again,John Newman,pop,FALSE,2013,239894,0.04,0.1,0.5,0.21,Depressed,Popular
Work B**ch,Britney Spears,pop,TRUE,2013,247853,0.15,0.06,0.63,0.85,Cheerful,Underrated
Sweater Weather,The Neighbourhood,rock,FALSE,2013,240400,0.03,0.1,0.61,0.4,Sad,Popular
Safe And Sound,Capital Cities,pop,FALSE,2013,192693,0.03,0.09,0.65,0.84,Cheerful,Underrated
Heart Attack,Demi Lovato,pop,FALSE,2013,210840,0.1,0.24,0.5,0.5,Sad,Popular
Why'd You Only Call Me When You're High?,Arctic Monkeys,rock,FALSE,2013,161123,0.04,0.1,0.69,0.8,Cheerful,Popular
Beauty And A Beat,Justin Bieber,pop,FALSE,2012,227986,0.06,0.07,0.6,0.53,Happy,Popular
The Monster,Eminem,hip hop,TRUE,2013,250188,0.07,0.12,0.78,0.62,Happy,Popular
Black Skinhead,Kanye West,hip hop,TRUE,2013,188013,0.32,0.18,0.58,0.28,Sad,Underrated
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,FALSE,2013,214912,0.06,0.13,0.57,0.11,Depressed,Popular
Team,Lorde,pop,FALSE,2013,193058,0.09,0.25,0.69,0.43,Sad,Underrated
Demons,Imagine Dragons,rock,FALSE,2012,177506,0.03,0.27,0.51,0.43,Sad,Popular
I Knew You Were Trouble.,Taylor Swift,pop,FALSE,2012,219720,0.04,0.03,0.62,0.68,Happy,Popular
Do I Wanna Know?,Arctic Monkeys,rock,FALSE,2013,272394,0.03,0.22,0.55,0.41,Sad,Popular
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,hip hop,TRUE,2013,233786,0.28,0.11,0.85,0.66,Happy,Popular
Try,P!nk,pop,FALSE,2012,247906,0.03,0.09,0.67,0.55,Happy,Popular
Sail,AWOLNATION,pop,FALSE,2011,259102,0.06,0.1,0.83,0.24,Depressed,Underrated
Need U (100%) [feat. A*M*E] - Radio Edit,Duke Dumont,pop,FALSE,2013,174853,0.05,0.35,0.68,0.47,Sad,Underrated
The Other Side,Jason Derulo,hip hop,FALSE,2013,226986,0.1,0.14,0.56,0.52,Happy,Underrated
Look Right Through - MK Vocal Edit,Storm Queen,Electronic,FALSE,2014,150400,0.08,0.26,0.83,0.52,Happy,Underrated
Unconditionally,Katy Perry,pop,FALSE,2013,228878,0.04,0.21,0.56,0.37,Sad,Underrated
Wings,Birdy,pop,FALSE,2013,252106,0.03,0.16,0.47,0.22,Depressed,Underrated
Roar,Katy Perry,pop,FALSE,2013,223546,0.04,0.35,0.55,0.46,Sad,Popular
Ready or Not,Bridgit Mendler,pop,FALSE,2012,200946,0.05,0.11,0.72,0.75,Happy,Popular
Pompeii,Bastille,pop,FALSE,2013,214147,0.04,0.27,0.68,0.57,Happy,Popular
Best Song Ever,One Direction,pop,FALSE,2013,200106,0.05,0.08,0.65,0.49,Sad,Popular
Clarity,Zedd,hip hop,FALSE,2012,271426,0.08,0.08,0.52,0.19,Depressed,Underrated
Wrecking Ball,Miley Cyrus,pop,FALSE,2013,221360,0.03,0.11,0.53,0.35,Sad,Popular
Fine China,Chris Brown,hip hop,FALSE,2013,213666,0.06,0.11,0.66,0.61,Happy,Underrated
Mirrors,Justin Timberlake,pop,FALSE,2013,484146,0.05,0.09,0.57,0.51,Happy,Popular
Treasure,Bruno Mars,pop,TRUE,2012,178560,0.04,0.32,0.87,0.94,Cheerful,Popular
Little Talks,Of Monsters and Men,pop,FALSE,2012,266600,0.03,0.15,0.46,0.42,Sad,Popular
We Can't Stop,Miley Cyrus,pop,FALSE,2013,231240,0.03,0.37,0.61,0.48,Sad,Popular
Power Trip (feat. Miguel),J. Cole,hip hop,TRUE,2013,241160,0.22,0.43,0.67,0.47,Sad,Underrated
Still into You,Paramore,pop,FALSE,2013,216013,0.04,0.06,0.6,0.77,Cheerful,Popular
"Hold On, We're Going Home",Drake,hip hop,FALSE,2013,227880,0.1,0.07,0.77,0.29,Sad,Popular
Bonfire Heart,James Blunt,pop,FALSE,2013,238000,0.05,0.12,0.58,0.45,Sad,Underrated
3005,Childish Gambino,hip hop,TRUE,2013,235662,0.29,0.08,0.68,0.66,Happy,Underrated
Here's to Never Growing Up,Avril Lavigne,pop,TRUE,2013,214080,0.1,0.42,0.48,0.72,Happy,Underrated
Let Her Go,Passenger,pop,FALSE,2012,252866,0.06,0.1,0.51,0.24,Depressed,Popular
Stay,Rihanna,hip hop,FALSE,2012,240706,0.03,0.12,0.62,0.13,Depressed,Popular
When I Was Your Man,Bruno Mars,pop,FALSE,2012,213826,0.04,0.09,0.61,0.39,Sad,Popular
Happy - From "Despicable Me 2",Pharrell Williams,hip hop,FALSE,2014,232720,0.18,0.09,0.65,0.96,Cheerful,Popular
Dark Horse,Katy Perry,pop,FALSE,2013,215672,0.05,0.17,0.65,0.35,Sad,Popular
Collard Greens,ScHoolboy Q,hip hop,TRUE,2014,299960,0.06,0.21,0.83,0.67,Happy,Underrated
Animals,Maroon 5,pop,FALSE,2014,231013,0.09,0.59,0.28,0.33,Sad,Popular
Stay With Me,Sam Smith,pop,FALSE,2014,172723,0.04,0.11,0.42,0.18,Depressed,Popular
Rude,MAGIC!,pop,FALSE,2014,224840,0.04,0.31,0.77,0.93,Cheerful,Popular
Chandelier,Sia,pop,FALSE,2014,216120,0.05,0.07,0.4,0.57,Happy,Popular
All of Me,John Legend,pop,FALSE,2013,269560,0.03,0.13,0.42,0.33,Sad,Popular
Faded,ZHU,Electronic,FALSE,2014,223386,0.05,0.12,0.86,0.6,Happy,Underrated
All About That Bass,Meghan Trainor,pop,TRUE,2015,187920,0.05,0.12,0.81,0.96,Cheerful,Popular
Lovers on the Sun (feat. Sam Martin),David Guetta,hip hop,FALSE,2014,203520,0.04,0.38,0.65,0.57,Happy,Underrated
Habits (Stay High),Tove Lo,pop,FALSE,2014,209160,0.03,0.08,0.73,0.35,Sad,Popular
Maps,Maroon 5,pop,FALSE,2014,189840,0.03,0.07,0.74,0.89,Cheerful,Underrated
Bad (feat. Vassy) - Radio Edit,David Guetta,hip hop,FALSE,2014,170625,0.09,0.33,0.61,0.41,Sad,Underrated
My Love (feat. Jess Glynne),Route 94,pop,FALSE,2014,259934,0.05,0.07,0.81,0.73,Happy,Popular
Under Control (feat. Hurts),Calvin Harris,hip hop,FALSE,2014,184280,0.08,0.12,0.54,0.51,Happy,Popular
Don't Tell 'Em,Jeremih,hip hop,TRUE,2015,266840,0.1,0.11,0.86,0.39,Sad,Popular
Blame (feat. John Newman),Calvin Harris,hip hop,FALSE,2014,212960,0.08,0.34,0.41,0.35,Sad,Popular
Timber (feat. Ke$ha),Pitbull,hip hop,FALSE,2012,204160,0.1,0.14,0.58,0.79,Cheerful,Popular
Hot N*gga,Bobby Shmurda,hip hop,TRUE,2014,194561,0.42,0.06,0.79,0.18,Depressed,Popular
Summer,Calvin Harris,hip hop,FALSE,2014,224506,0.03,0.1,0.6,0.72,Happy,Underrated
Man Of The Year,ScHoolboy Q,hip hop,TRUE,2014,216013,0.04,0.18,0.74,0.39,Sad,Underrated
Am I Wrong,Nico & Vinz,hip hop,FALSE,2014,245866,0.03,0.55,0.73,0.78,Cheerful,Popular
Shower,Becky G,pop,FALSE,2014,206166,0.05,0.29,0.7,0.12,Depressed,Popular
#SELFIE - Original Mix,The Chainsmokers,pop,FALSE,2014,183750,0.25,0.08,0.79,0.66,Happy,Underrated
Team,Lorde,pop,FALSE,2013,193058,0.09,0.31,0.69,0.42,Sad,Popular
Me And My Broken Heart,Rixton,pop,FALSE,2014,193733,0.03,0.13,0.55,0.55,Happy,Popular
Jubel - Radio Edit,Klingande,pop,FALSE,2013,201626,0.03,0.14,0.69,0.1,Depressed,Underrated
Waves - Robin Schulz Radio Edit,Mr. Probz,hip hop,FALSE,2014,208133,0.04,0.08,0.83,0.45,Sad,Underrated
Only Love Can Hurt Like This,Paloma Faith,pop,FALSE,2014,232893,0.08,0.33,0.57,0.3,Sad,Popular
Break Free,Ariana Grande,pop,FALSE,2014,214840,0.05,0.2,0.69,0.28,Sad,Underrated
Loyal (feat. Lil Wayne & Tyga),Chris Brown,hip hop,TRUE,2014,264946,0.05,0.19,0.84,0.62,Happy,Popular
Up (feat. Demi Lovato),Olly Murs,pop,FALSE,2014,224293,0.03,0.1,0.69,0.64,Happy,Underrated
High (feat. Nicole Millar),Peking Duk,Electronic,FALSE,2014,228000,0.05,0.29,0.53,0.38,Sad,Underrated
Stolen Dance,Milky Chance,pop,FALSE,2014,313684,0.04,0.08,0.89,0.73,Happy,Popular
Don't,Ed Sheeran,pop,FALSE,2014,219840,0.07,0.64,0.81,0.85,Cheerful,Popular
Love Me Harder,Ariana Grande,pop,FALSE,2014,236133,0.03,0.08,0.47,0.24,Depressed,Popular
Hey Brother,Avicii,pop,FALSE,2013,255093,0.04,0.08,0.55,0.46,Sad,Underrated
Bang Bang,Jessie J,hip hop,FALSE,2014,199386,0.09,0.38,0.71,0.75,Happy,Popular
Classic,MKTO,hip hop,FALSE,2012,175426,0.12,0.16,0.72,0.76,Happy,Popular
Latch,Disclosure,pop,FALSE,2013,255631,0.17,0.09,0.5,0.52,Happy,Popular
Problem,Ariana Grande,pop,FALSE,2014,193920,0.15,0.16,0.66,0.63,Happy,Popular
Boom Clap,Charli XCX,pop,FALSE,2014,169866,0.08,0.19,0.66,0.58,Happy,Underrated
Steal My Girl,One Direction,pop,FALSE,2014,228133,0.03,0.11,0.54,0.55,Happy,Popular
Red Lights,Tiësto,pop,FALSE,2013,263890,0.04,0.23,0.65,0.55,Happy,Underrated
She Looks So Perfect,5 Seconds of Summer,pop,FALSE,2014,202496,0.13,0.33,0.49,0.44,Sad,Popular
Superheroes,The Script,pop,FALSE,2014,245466,0.04,0.07,0.49,0.64,Happy,Popular
Shake It Off,Taylor Swift,pop,FALSE,2014,219200,0.17,0.33,0.65,0.94,Cheerful,Popular
Night Changes,One Direction,pop,FALSE,2014,226600,0.04,0.12,0.67,0.37,Sad,Popular
Heroes (we could be),Alesso,pop,FALSE,2014,209866,0.06,0.24,0.52,0.35,Sad,Underrated
Wasted,Tiësto,pop,FALSE,2014,188371,0.03,0.2,0.65,0.38,Sad,Underrated
A Sky Full of Stars,Coldplay,rock,FALSE,2014,267866,0.03,0.21,0.55,0.16,Depressed,Popular
Rather Be (feat. Jess Glynne),Clean Bandit,pop,FALSE,2014,227833,0.04,0.19,0.8,0.55,Happy,Popular
Story of My Life,One Direction,pop,FALSE,2013,245493,0.05,0.12,0.6,0.29,Sad,Popular
Little Do You Know,Alex & Sierra,pop,FALSE,2014,185200,0.03,0.19,0.5,0.37,Sad,Popular
Riptide,Vance Joy,rock,FALSE,2014,204280,0.04,0.15,0.48,0.51,Happy,Popular
Sugar,Maroon 5,pop,TRUE,2014,235493,0.03,0.09,0.74,0.89,Cheerful,Underrated
Geronimo,Sheppard,pop,FALSE,2014,218227,0.08,0.12,0.71,0.44,Sad,Underrated
Wrapped Up (feat. Travie McCoy),Olly Murs,pop,FALSE,2014,185640,0.05,0.15,0.79,0.95,Cheerful,Underrated
Trumpets,Jason Derulo,hip hop,FALSE,2013,217306,0.24,0.1,0.63,0.64,Happy,Underrated
Bed Of Lies,Nicki Minaj,hip hop,TRUE,2014,269946,0.19,0.11,0.72,0.12,Depressed,Underrated
Jealous - Remix,Nick Jonas,pop,TRUE,2014,222213,0.07,0.45,0.69,0.5,Sad,Underrated
Uptown Funk (feat. Bruno Mars),Mark Ronson,pop,TRUE,2015,269666,0.08,0.03,0.86,0.93,Cheerful,Popular
Thinking out Loud,Ed Sheeran,pop,FALSE,2014,281560,0.03,0.18,0.78,0.59,Happy,Popular
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,FALSE,2015,229525,0.08,0.06,0.69,0.28,Sad,Popular
What Do You Mean?,Justin Bieber,pop,FALSE,2015,205680,0.1,0.08,0.85,0.79,Cheerful,Popular
Lean On (feat. MØ & DJ Snake),Major Lazer,hip hop,FALSE,2015,176561,0.06,0.57,0.72,0.27,Sad,Popular
Earned It (Fifty Shades Of Grey) - From The "Fifty Shades Of Grey" Soundtrack,The Weeknd,pop,FALSE,2014,252226,0.03,0.1,0.66,0.43,Sad,Popular
Love Me Like You Do - From "Fifty Shades Of Grey",Ellie Goulding,pop,FALSE,2015,252534,0.05,0.13,0.26,0.28,Sad,Popular
Outside (feat. Ellie Goulding),Calvin Harris,hip hop,FALSE,2014,227266,0.04,0.32,0.65,0.42,Sad,Popular
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,hip hop,FALSE,2014,192560,0.15,0.33,0.6,0.53,Happy,Popular
Cool for the Summer,Demi Lovato,pop,TRUE,2015,214746,0.04,0.09,0.59,0.32,Sad,Underrated
Blank Space,Taylor Swift,pop,FALSE,2014,231826,0.05,0.09,0.76,0.57,Happy,Popular
The Hills,The Weeknd,pop,TRUE,2015,242253,0.05,0.14,0.59,0.14,Depressed,Popular
Daddy Issues,The Neighbourhood,rock,FALSE,2015,260173,0.03,0.12,0.59,0.34,Sad,Popular
The Nights,Avicii,pop,FALSE,2014,176658,0.04,0.25,0.53,0.65,Happy,Popular
Ghost Town,Adam Lambert,pop,TRUE,2015,208330,0.05,0.17,0.7,0.27,Sad,Underrated
GDFR (feat. Sage the Gemini & Lookas),Flo Rida,hip hop,FALSE,2015,190185,0.07,0.07,0.66,0.69,Happy,Underrated
Sugar (feat. Francesco Yates),Robin Schulz,pop,FALSE,2015,219043,0.06,0.16,0.64,0.64,Happy,Popular
How Deep Is Your Love,Calvin Harris,hip hop,FALSE,2015,212640,0.07,0.39,0.74,0.34,Sad,Popular
Centuries,Fall Out Boy,rock,FALSE,2015,228360,0.07,0.1,0.39,0.56,Happy,Popular
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,hip hop,TRUE,2016,177184,0.15,0.09,0.89,0.23,Depressed,Popular
Are You With Me - Radio Edit,Lost Frequencies,pop,FALSE,2014,138842,0.03,0.13,0.78,0.41,Sad,Underrated
Stressed Out,Twenty One Pilots,rock,FALSE,2015,202333,0.14,0.06,0.73,0.65,Happy,Popular
Worth It (feat. Kid Ink),Fifth Harmony,pop,FALSE,2015,224573,0.09,0.12,0.88,0.59,Happy,Popular
Like I Can,Sam Smith,pop,FALSE,2014,167065,0.04,0.12,0.66,0.48,Sad,Popular
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,hip hop,FALSE,2015,166138,0.07,0.23,0.75,0.75,Happy,Underrated
Intoxicated - New Radio Mix,Martin Solveig,pop,FALSE,2015,159693,0.04,0.08,0.8,0.55,Happy,Underrated
Waiting For Love,Avicii,pop,FALSE,2015,230613,0.05,0.2,0.58,0.61,Happy,Popular
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,hip hop,FALSE,2018,186146,0.03,0.07,0.78,0.48,Sad,Popular
Wildest Dreams,Taylor Swift,pop,FALSE,2014,220440,0.07,0.11,0.55,0.47,Sad,Popular
In The Night,The Weeknd,pop,TRUE,2015,235653,0.13,0.05,0.48,0.51,Sad,Underrated
Time of Our Lives,Pitbull,hip hop,TRUE,2014,229360,0.06,0.69,0.72,0.72,Happy,Popular
Runaway (U & I),Galantis,pop,FALSE,2015,227073,0.05,0.09,0.51,0.38,Sad,Popular
Bitch Better Have My Money,Rihanna,hip hop,TRUE,2015,219305,0.06,0.26,0.78,0.4,Sad,Popular
Lush Life,Zara Larsson,pop,FALSE,2015,202213,0.05,0.19,0.66,0.79,Cheerful,Underrated
Drag Me Down,One Direction,pop,FALSE,2015,192120,0.04,0.07,0.73,0.6,Happy,Popular
Antidote,Travis Scott,hip hop,TRUE,2015,262693,0.03,0.12,0.71,0.13,Depressed,Popular
King,Years & Years,pop,FALSE,2015,215360,0.04,0.38,0.56,0.47,Sad,Underrated
Do It Again,Pia Mia,pop,TRUE,2015,207746,0.05,0.09,0.71,0.41,Sad,Popular
My House,Flo Rida,hip hop,FALSE,2015,192190,0.05,0.13,0.69,0.74,Happy,Popular
Watch Me (Whip / Nae Nae),Silentó,hip hop,FALSE,2015,185131,0.13,0.33,0.82,0.96,Cheerful,Underrated
Never Forget You,Zara Larsson,pop,FALSE,2017,213427,0.05,0.27,0.58,0.28,Sad,Popular
oui,Jeremih,hip hop,FALSE,2015,238320,0.1,0.11,0.42,0.6,Happy,Popular
Hotline Bling,Drake,hip hop,FALSE,2016,267066,0.06,0.05,0.89,0.55,Happy,Popular
679 (feat. Remy Boyz),Fetty Wap,hip hop,TRUE,2015,196693,0.32,0.63,0.62,0.6,Happy,Popular
Love Me Harder,Ariana Grande,pop,FALSE,2014,236133,0.03,0.08,0.47,0.24,Depressed,Popular
Can't Feel My Face,The Weeknd,pop,FALSE,2015,213520,0.04,0.11,0.71,0.58,Happy,Popular
Renegades,X Ambassadors,hip hop,FALSE,2015,195200,0.09,0.23,0.53,0.53,Happy,Popular
Locked Away (feat. Adam Levine),R. City,pop,FALSE,2015,227480,0.07,0.05,0.51,0.55,Happy,Popular
Stole the Show,Kygo,pop,FALSE,2016,223186,0.23,0.32,0.64,0.48,Sad,Popular
The Less I Know The Better,Tame Impala,metal,TRUE,2015,216320,0.03,0.17,0.64,0.79,Cheerful,Popular
Good For You,Selena Gomez,pop,TRUE,2015,221560,0.07,0.07,0.6,0.22,Depressed,Underrated
Take Me To Church,Hozier,Folk,FALSE,2014,241688,0.05,0.12,0.57,0.44,Sad,Popular
Style,Taylor Swift,pop,FALSE,2014,231000,0.04,0.12,0.59,0.49,Sad,Popular
Here,Alessia Cara,pop,FALSE,2015,199453,0.16,0.08,0.38,0.36,Sad,Underrated
Bang My Head (feat. Sia & Fetty Wap),David Guetta,hip hop,FALSE,2015,193333,0.08,0.1,0.6,0.59,Happy,Underrated
I Don't Fuck With You,Big Sean,hip hop,TRUE,2015,284386,0.06,0.33,0.82,0.4,Sad,Popular
Firestone,Kygo,pop,FALSE,2016,271640,0.04,0.1,0.7,0.41,Sad,Popular
Jumpman,Drake,hip hop,TRUE,2015,205879,0.2,0.34,0.85,0.65,Happy,Underrated
Stitches,Shawn Mendes,pop,FALSE,2015,206880,0.07,0.05,0.75,0.75,Happy,Popular
Where Are Ü Now (with Justin Bieber),Jack Ü,pop,FALSE,2015,250285,0.06,0.08,0.43,0.2,Depressed,Popular
On My Mind,Ellie Goulding,pop,FALSE,2015,213445,0.05,0.09,0.7,0.74,Happy,Underrated
Don't,Bryson Tiller,hip hop,TRUE,2015,198293,0.2,0.1,0.77,0.19,Depressed,Popular
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,hip hop,TRUE,2015,176674,0.05,0.34,0.68,0.88,Cheerful,Underrated
I Want You To Know,Zedd,hip hop,FALSE,2015,238800,0.07,0.28,0.56,0.38,Sad,Underrated
Electric Love,BØRNS,rock,FALSE,2015,218173,0.09,0.26,0.37,0.61,Happy,Underrated
Sorry,Justin Bieber,pop,FALSE,2015,200786,0.05,0.3,0.65,0.41,Sad,Popular
One Last Time,Ariana Grande,pop,FALSE,2014,197266,0.03,0.1,0.63,0.1,Depressed,Popular
